resource_name,desc_old
Advanced Research Computing,"Advanced Research Computing (ARC), a division of ITS, offers scientific computing and research consulting services to help implement machine learning and data driven workflows within their projects. These services include expert guidance on data science projects, identifying proper tools, and programming in support of implementing advanced data analytics, machine learning models, and computational techniques to enhance research projects. This service is not for general guidance on use of HPC resource ARC provides."
Data Science for Dynamic Intervention Decision Making Center (d3),"As we develop the methodological toolkit scientists need to address today’s biggest public health challenges, we’re collaborating with and training scientific partners to implement our methodology to solve real-world problems. Through partnerships with stakeholders around the world, we will catalyze a new generation of evidence-based, technology-powered treatments that improve health and education outcomes for everyone."
Statistical Analysis of Biomedical and Educational Research Group (SABER),"The Statistical Analysis of Biomedical and Educational Research Group (SABER) unit of the Department of Biostatistics provides expertise in the design, conduct, and analysis of multi-center clinical trials and multi-disciplinary research. Whether it be just a statistical, methodological, or an operational issue, SABER applies its resources to deliver time-effective design and quality-based output that meet investigational needs.
We have served as the data coordinating center (DCC) for NIH network-based, individual-investigator, and pharmaceutical company-sponsored studies. We have the capacity to simultaneously support multiple clinical studies at various stages of development. These collaborations have led to numerous publications in peer-reviewed journals and presentations or posters at scientific meetings.

Statistical expertise and experience differentiates SABER from other groups that support clinical studies. SABER is housed within the department of biostatistics at the University of Michigan School of Public Health, rated the top biostatistics program in the country by the National Academies. We bring biostatistical design and analysis expertise to a wide spectrum of health-related issues. Our faculty, students, and staff work in important and diverse areas of current biostatistical research including image analysis, survival and event history analysis, statistical genetics and bioinformatics, clinical trials, Bayesian methods, statistical computing, longitudinal data analysis, methods for missing data, and survey research.

SABER employs dedicated personnel and tools that provide collaborative expertise in design, conduct, and analysis, administrative coordination and communication, study planning and management, data management, quality control and assurance, and human subjects' protection and regulatory affairs for single and multicenter clinical studies. SABER has a robust internal training and quality control environment, with standard operating procedures, work instructions and checklists for common activities. Study start-up and study close-out debriefing sessions present training opportunities for new staff and faculty."
Clinical & Health Research Dissemination & Implementation Science Catalyst (DISC),"DISC manages several D&I resources for U-M study teams, including the Implementation Science Network (ISN). The ISN was developed to build a critical mass of faculty, staff, and trainees interested in D&I and enable networking and mentoring opportunities to increase the number of D&I focused research initiatives to reduce the translation gap. DISC also provides access to training resources, a works-in-progress series for investigators, and expert consultations."
e-HAIL: E-Health & Artificial Intelligence,e-HAIL is a joint initiative between the College of Engineering and Michigan Medicine building faculty community and supporting grant development thorugh innovation in AI and health.
AI & Digital Health Innovation,"AI & Digital Health Innovation (AI&DHI) provides researchers across U-M with the tools to develop and implement clinical AI models and AI-based technologies to enhance digital healthcare. By working with interdisciplinary teams of health providers, basic scientists, engineers, and administrators, we are helping investigators tackle the most difficult research problems and rapidly bring solutions to the bedside."
Michigan Alzheimer's Disease Center,"An ADRC, or Alzheimer’s Disease Research Center, is a National Institute on Aging (NIA)-designated center focused on the research of Alzheimer’s disease and related dementias. In addition to advancing cutting-edge research, the centers provide a resource to investigators and the public by offering the opportunity for all populations to participate in clinical studies and research registries, help with obtaining a diagnosis and medical management, information about the disease, services, and resources, and support groups or other special programs."
Michigan AI Laboratory,"Since 1988, the Michigan AI Lab has been advancing foundational AI research that shapes the future of intelligent systems. Spanning machine learning, natural language processing, computer vision, robotics, reasoning, and trustworthy AI (along with many more topics), the Lab brings together faculty, students, postdocs, alumni, and collaborators to develop core methods, algorithms, and theories that expand what AI can do and how it can be used responsibly across disciplines."
Michigan Institute for Computational Discovery & Engineering,"MICDE is the University of Michigan‚Äôs hub for computational science and engineering, advancing research and education at the intersection of scientific computing, AI, and HPC. It connects researchers across disciplines and provides research and educational programs, events, and collaborative opportunities that accelerate computational and AI-for-science innovation and discovery."
Arts Research: Incubation & Acceleration (ARIA),"The Arts Research: Incubation & Acceleration (ARIA) program, a joint effort conceived and funded through a collaboration between the University of Michigan Arts Initiative and the Office of the Vice President of Research, seeks to elevate and expand arts research and creative practice across the University of Michigan’s campuses and schools. The program will support projects centered in the arts that ask creative questions and move toward new ideas and knowledges; invite new forms of collaboration and interaction both within and beyond the arts; and that imagine new approaches to problems and ideas in the arts and society. Applications are particularly encouraged from interdisciplinary research teams structured to provide mutual benefit to those in the arts and in other research sectors, and from individuals working in creative practice to imagine new horizons of artistic possibility."
Center for Global Health Equity,"The Center for Global Health Equity champions collaborative efforts to address health disparities in resource-constrained settings around the world. Based at the University of Michigan, the center's interdisciplinary approach integrates co-design principles across research, training, and policy translation to produce solutions that are equitable, evidence-based, and built to last."
Michigan Center for Applied and Interdisciplinary Mathematics,"Founded in 2016, the Michigan Center for Applied and Interdisciplinary Mathematics (MCAIM) serves as a campus-wide hub for applied and interdisciplinary mathematics at the University of Michigan. MCAIM brings together researchers from across campus, including mathematicians, scientists, and engineers to catalyze new collaborations, identify emerging research directions, and advance discoveries that are made possible through shared expertise."
Bold Challenges,"Bold Challenges, an Office of Vice President for Research initiative, leads events and programs to empower researchers to create dynamic teams, produce transformative discoveries and improve the quality of life for our communities, state, nation and world. Bold Challenges supports core objectives:
- Increase cross-school collaboration, public impact, and U-M’s competitiveness for large grants on essential challenges.
- Forecasts funding opportunities and identifies comparative advantages.
- Offers broad and inclusive pathways to large-scale external research funding."
"Center for Ethics, Society, and Computing (ESC)","The Center for Ethics, Society, and Computing (ESC – pronounced “escape”) is dedicated to intervening when digital media and computing technologies reproduce inequality, exclusion, corruption, deception, racism, or sexism. The ESC key was added to the computer keyboard to interrupt a program when it produced unwanted results, allowing the system to be critically examined. In the same way, the Center for Ethics, Society, and Computing (ESC – pronounced “escape”) is dedicated to intervening when digital media and computing technologies reproduce inequality, exclusion, corruption, deception, racism, or sexism. ESC is a research center and a collective of scholars committed to feminist, justice-focused, inclusive, and interdisciplinary approaches to computing. We are invested in the social, cultural, and political dimensions of digital technologies. We intercede in structures of power and inequality. We work with educators, workers, industrial practitioners, and policymakers.

"
Digital Studies Institute,"The Digital Studies Institute is a center for research and dialogue where faculty, students, and visitors focus their inquiry on technology, digital culture, and social justice. Questions concerning the impacts of technology on race, disability, gender, sexuality, class, power, and identity are foregrounded in courses for our undergraduate minor and graduate concentration; in our annual summer institute; and in a diverse range of public programs. The DSI is also home to the research initiative the DISCO Network."
