building_id,resource_name,tag,description,category,address,building_room,email,url,phone,audience,thematic_area
,Advanced Research Computing,Support Resource,"Advanced Research Computing (ARC), a division of U-M's Information and Technology Services, offers scientific computing and research consulting to help researchers implement machine learning and data-driven workflows. ARC provides expert guidance on data science projects, helps identify the right tools, and supports programming for advanced analytics, machine learning, and computational techniques, distinct from general HPC usage support.",Computing & Technical Resources; Consulting & Support,Remote,,"arc-support@umich.edu, arc-consulting@umich.edu",https://its.umich.edu/advanced-research-computing,,Faculty; Graduate,Computing Infrastructure; Data Science & Statistics
1000145,Data Science for Dynamic Intervention Decision Making Center (d3),Center,"The Data Science for Dynamic Intervention Decision Making Center (d3) develops the methodological toolkit scientists need to address major public health challenges. d3 collaborates with and trains scientific partners worldwide to implement its methodology, catalyzing a new generation of evidence-based, technology-powered treatments that improve health and education outcomes.",Applied & Domain Focused Research; Consulting & Support,"426 Thompson Street, Ann Arbor, MI 48104-2321",Institute for Social Research,d3-center@umich.edu,https://d3c.isr.umich.edu/,,Faculty; Graduate,Health
1000204,Statistical Analysis of Biomedical and Educational Research Group (SABER),Research Group,"The Statistical Analysis of Biomedical and Educational Research Group (SABER), a unit of the Department of Biostatistics, provides expertise in the design, conduct, and analysis of multi-center clinical trials and multidisciplinary research. SABER has served as the data coordinating center for numerous NIH-funded and industry-sponsored studies, bringing biostatistical design and analysis expertise to a wide range of health-related research.",Applied & Domain Focused Research; Consulting & Support,"1415 Washington Heights, Ann Arbor, MI 48109-2029",Vaughan SPH-I,SABER-proposals@umich.edu,https://sph.umich.edu/saber/,,Faculty; Graduate,Health; Data Science & Statistics
1005282,Clinical & Health Research Dissemination & Implementation Science Catalyst (DISC),Program,"DISC manages several dissemination and implementation (D&I) science resources for U-M study teams, including the Implementation Science Network (ISN), which builds a community of faculty, staff, and trainees interested in D&I research. DISC also provides training resources, a works-in-progress series for investigators, and expert consultations.",Funding & Project Development,"1600 Huron Parkway, Ann Arbor, MI 48109",NCRC Bldg 550,MICHR-UMISN@umich.edu,https://michr.umich.edu/offering/implementation-science-network-isn/,,Faculty; Graduate,Health
1005281,e-HAIL: E-Health & Artificial Intelligence,Initiative,e-HAIL is a joint initiative between the College of Engineering and Michigan Medicine that builds faculty community and supports grant development through innovation in AI and health.,Applied & Domain Focused Research; Funding & Project Development,"2800 Plymouth Road, Ann Arbor, MI 48109",NCRC Bldg 520,Various (https://e-hail.umich.edu/people-e-hail-team/),https://e-hail.umich.edu/,,Faculty,Health
1005276,AI & Digital Health Innovation,Program,"AI & Digital Health Innovation (AI&DHI) provides U-M researchers with the tools to develop and implement clinical AI models and AI-based technologies that enhance digital healthcare. By convening interdisciplinary teams of health providers, scientists, engineers, and administrators, AI&DHI helps investigators tackle difficult research problems and rapidly bring solutions to the bedside.",Applied & Domain Focused Research; Computing & Technical Resources; Funding & Project Development,"1600 Huron Parkway, Ann Arbor, MI 48109",NCRC Bldg 100,AIDHI@umich.edu,https://aidhi.umich.edu/,,Faculty; Graduate,Health
BLD-004706,Michigan Alzheimer's Disease Center,Center,"The Michigan Alzheimer's Disease Center (MADC) is a National Institute on Aging-designated center focused on research into Alzheimer's disease and related dementias. Beyond advancing research, MADC serves investigators and the public by offering clinical studies and research registries, support with diagnosis and medical management, disease information, and support groups.",Applied & Domain Focused Research,"2101 Commonwealth Boulevard, Ann Arbor, MI 48105",Suite D,UM-Ask-MADC@med.umich.edu,https://medresearch.umich.edu/labs-departments/centers/madc,(734) 936-8803,Faculty; Graduate,Health
1005092,Michigan AI Laboratory,Lab,"Since 1988, the Michigan AI Lab has advanced foundational AI research that shapes the future of intelligent systems. Spanning machine learning, natural language processing, computer vision, robotics, reasoning, and trustworthy AI, the Lab brings together faculty, students, postdocs, alumni, and collaborators to develop methods and theories that expand what AI can do responsibly.",AI Development; Research & Methods; Consulting & Support,"2260 Hayward Street, Ann Arbor, MI 48109-2121",Bob and Betty Beyster Building,ailabadmin@umich.edu,https://ai.engin.umich.edu/,,Faculty; Graduate,AI & Machine Learning
1005574,Michigan Institute for Computational Discovery & Engineering,Institute,"MICDE is the University of Michigan's hub for computational science and engineering, advancing research and education at the intersection of scientific computing, AI, and high-performance computing. It connects researchers across disciplines and offers research and educational programs, events, and collaborative opportunities that accelerate computational and AI-for-science innovation.",AI Development; Research & Methods; Computing & Technical Resources,"3520 Green Court, Ann Arbor, MI 48105","3520 Green Court, Suite 2300",micde-contact@umich.edu,https://micde.umich.edu/,,Faculty; Undergraduate; Graduate,AI & Machine Learning; Computing Infrastructure
1000193,Arts Research: Incubation & Acceleration (ARIA),Program,"The Arts Research: Incubation & Acceleration (ARIA) program, a joint effort between the U-M Arts Initiative and the Office of the Vice President for Research, supports projects that expand arts research and creative practice across campus. ARIA encourages interdisciplinary research teams and individuals in creative practice to pursue new collaborations and new artistic and scholarly horizons.","Arts, Humanities & Creative Practice; Funding & Project Development","1109 Geddes Avenue, Ann Arbor, MI 48109","Alexander G. Ruthven Building, Suite 1300",ARIA.grant@umich.edu,https://research.umich.edu/arts-research-incubation-acceleration-aria/,(734) 764-1185,Faculty; Graduate,Arts & Humanities
1005276,Center for Global Health Equity,Center,"The Center for Global Health Equity champions collaborative efforts to address health disparities in resource-constrained settings worldwide. Based at the University of Michigan, the Center integrates co-design principles across research, training, and policy translation to produce solutions that are equitable, evidence-based, and built to last.","Applied & Domain Focused Research; Ethics, Society & Policy","1600 Huron Parkway, Ann Arbor, MI 48109",NCRC Bldg 100,globalhealthequity@umich.edu,https://globalhealthequity.umich.edu/,,Faculty; Undergraduate; Graduate,Health; Ethics & Policy
1000166,Michigan Center for Applied and Interdisciplinary Mathematics,Center,"Founded in 2016, the Michigan Center for Applied and Interdisciplinary Mathematics (MCAIM) serves as a campus-wide hub for applied and interdisciplinary mathematics at the University of Michigan. MCAIM brings together researchers from across campus, including mathematicians, scientists, and engineers, to catalyze new collaborations, identify emerging research directions, and advance discoveries made possible through shared expertise.",AI Research; Development & Methods; Consulting & Support,"530 Church Street, Ann Arbor, MI 48109-1043","East Hall, Room 2074",math-mcaim@umich.edu,https://sites.lsa.umich.edu/mcaim/,,Faculty; Undergraduate; Graduate,Data Science & Statistics
1000193,Bold Challenges,Initiative,"Bold Challenges, an Office of the Vice President for Research initiative, leads events and programs that empower researchers to build dynamic teams, produce transformative discoveries, and improve quality of life for communities across the state, nation, and world. It increases cross-school collaboration, forecasts funding opportunities, and offers broad, inclusive pathways to large-scale external research funding.",Funding & Project Development,"1109 Geddes Avenue, Ann Arbor, MI 48109",Alexander G. Ruthven Building,Bold-Challenges@umich.edu,https://boldchallenges.umich.edu/,,Faculty,
1000145,"Center for Ethics, Society, and Computing (ESC)",Center,"The Center for Ethics, Society, and Computing (ESC) intervenes when digital media and computing technologies reproduce inequality, exclusion, corruption, deception, racism, or sexism. A research center and collective of scholars, ESC takes feminist, justice-focused, and interdisciplinary approaches to computing, working with educators, workers, industry practitioners, and policymakers on the social, cultural, and political dimensions of digital technology.","Ethics, Society & Policy; Applied & Domain Focused Research","426 Thompson Street, Ann Arbor, MI 48104-2321",Institute for Social Research,esc-center@umich.edu,https://esc.umich.edu/,(734) 764-5361,Faculty; Graduate,Ethics & Policy
1000197,Digital Studies Institute,Institute,"The Digital Studies Institute is a center for research and dialogue where faculty, students, and visitors examine technology, digital culture, and social justice. Questions about the impact of technology on race, disability, gender, sexuality, class, power, and identity are central to its undergraduate minor, graduate concentration, annual summer institute, and public programs. DSI is also home to the DISCO Network research initiative.","Applied & Domain Focused Research; Ethics, Society & Policy; Arts, Humanities & Creative Practice","419 South State Street, Ann Arbor, MI 48109-1045","Mason Hall, Room G333",umdsi.info@umich.edu,https://www.digitalstudies.umich.edu/,(734) 764-3356,Faculty; Undergraduate; Graduate,Ethics & Policy; Arts & Humanities
